time,NEGATIVE,POSITIVE,pct,nltk_polarity
2022-04-07 04:00:00+00:00,65,119,0.6467391304347826,0.286145
2022-04-07 05:00:00+00:00,67,128,0.6564102564102564,0.268192
2022-04-07 06:00:00+00:00,38,60,0.6122448979591837,0.249777
2022-04-07 07:00:00+00:00,69,122,0.6387434554973822,0.25923214285714286
2022-04-07 08:00:00+00:00,91,102,0.5284974093264249,0.22005555555555553
2022-04-07 09:00:00+00:00,34,63,0.6494845360824743,0.20830204081632653
2022-04-07 10:00:00+00:00,58,137,0.7025641025641025,0.3054914572864322
2022-04-07 11:00:00+00:00,79,116,0.5948717948717949,0.3082285
2022-04-07 12:00:00+00:00,80,110,0.5789473684210527,0.23905728643216081
2022-04-07 13:00:00+00:00,50,46,0.4791666666666667,0.23857171717171718
2022-04-07 14:00:00+00:00,70,124,0.6391752577319587,0.23238939393939395
2022-04-07 15:00:00+00:00,78,121,0.6080402010050251,0.280353
2022-04-07 16:00:00+00:00,80,117,0.5939086294416244,0.253973
2022-04-07 17:00:00+00:00,32,46,0.5897435897435898,0.2516848101265823
2022-04-07 18:00:00+00:00,70,130,0.65,0.2892225
2022-04-07 19:00:00+00:00,69,130,0.6532663316582915,0.27856400000000003
2022-04-07 20:00:00+00:00,35,64,0.6464646464646465,0.274751
2022-04-07 21:00:00+00:00,66,132,0.6666666666666666,0.3035899497487437
2022-04-07 22:00:00+00:00,73,124,0.6294416243654822,0.33258341708542716
2022-04-07 23:00:00+00:00,88,109,0.5532994923857868,0.21014522613065326
2022-04-08 00:00:00+00:00,44,51,0.5368421052631579,0.207976
2022-04-08 01:00:00+00:00,90,110,0.55,0.265818
2022-04-08 02:00:00+00:00,85,110,0.5641025641025641,0.3283487437185929
2022-04-08 03:00:00+00:00,84,107,0.5602094240837696,0.2733281407035176
2022-04-08 04:00:00+00:00,42,58,0.58,0.283124
2022-04-08 05:00:00+00:00,82,115,0.583756345177665,0.2596585
2022-04-08 06:00:00+00:00,94,104,0.5252525252525253,0.276356
2022-04-08 07:00:00+00:00,41,52,0.5591397849462365,0.266888
2022-04-08 08:00:00+00:00,95,103,0.5202020202020202,0.2634175
2022-04-08 09:00:00+00:00,80,115,0.5897435897435898,0.3330625
2022-04-08 10:00:00+00:00,80,118,0.5959595959595959,0.23906984924623115
2022-04-08 11:00:00+00:00,39,60,0.6060606060606061,0.3126333333333333
2022-04-08 12:00:00+00:00,77,119,0.6071428571428571,0.2653265
2022-04-08 13:00:00+00:00,87,109,0.5561224489795918,0.2604365
2022-04-08 14:00:00+00:00,93,103,0.5255102040816326,0.2402495
2022-04-08 15:00:00+00:00,29,70,0.7070707070707071,0.317789898989899
2022-04-08 16:00:00+00:00,83,103,0.553763440860215,0.2911937823834197
2022-04-08 17:00:00+00:00,90,106,0.5408163265306123,0.24784422110552762
2022-04-08 18:00:00+00:00,40,58,0.5918367346938775,0.256786
2022-04-08 19:00:00+00:00,77,119,0.6071428571428571,0.22888994974874374
2022-04-08 20:00:00+00:00,77,123,0.615,0.269492
2022-04-08 21:00:00+00:00,83,116,0.5829145728643216,0.2786645
2022-04-08 22:00:00+00:00,40,57,0.5876288659793815,0.31903673469387756
2022-04-08 23:00:00+00:00,95,103,0.5202020202020202,0.2861475
2022-04-09 00:00:00+00:00,92,102,0.5257731958762887,0.23318383838383838
2022-04-09 01:00:00+00:00,104,95,0.47738693467336685,0.2400125
2022-04-09 02:00:00+00:00,40,59,0.5959595959595959,0.28716200000000003
2022-04-09 03:00:00+00:00,93,102,0.5230769230769231,0.28563950000000005
2022-04-09 04:00:00+00:00,82,116,0.5858585858585859,0.288159
2022-04-09 05:00:00+00:00,81,115,0.5867346938775511,0.25662412060301504
2022-04-09 06:00:00+00:00,50,49,0.494949494949495,0.25684
2022-04-09 07:00:00+00:00,83,114,0.5786802030456852,0.22252562814070354
2022-04-09 08:00:00+00:00,88,107,0.5487179487179488,0.29579447236180906
2022-04-09 09:00:00+00:00,52,46,0.46938775510204084,0.198146
2022-04-09 10:00:00+00:00,95,99,0.5103092783505154,0.27014299999999997
2022-04-09 11:00:00+00:00,94,91,0.4918918918918919,0.270233
2022-04-09 12:00:00+00:00,84,113,0.5736040609137056,0.302054
2022-04-09 13:00:00+00:00,45,52,0.5360824742268041,0.162283
2022-04-09 14:00:00+00:00,100,92,0.4791666666666667,0.2861603015075377
2022-04-09 15:00:00+00:00,104,93,0.4720812182741117,0.266615
2022-04-09 16:00:00+00:00,82,112,0.5773195876288659,0.23103165829145728
2022-04-09 17:00:00+00:00,37,62,0.6262626262626263,0.29973030303030307
2022-04-09 18:00:00+00:00,93,98,0.5130890052356021,0.243078391959799
2022-04-09 19:00:00+00:00,107,87,0.4484536082474227,0.23198850000000001
2022-04-09 20:00:00+00:00,11,24,0.6857142857142857,0.46522800000000003
2022-04-09 21:00:00+00:00,94,105,0.5276381909547738,0.315555
2022-04-09 22:00:00+00:00,94,105,0.5276381909547738,0.3117355
2022-04-09 23:00:00+00:00,82,116,0.5858585858585859,0.29882361809045227
