Symbol: HVN.AX,,,,,,Study: VOL,
Date Time,Open,High,Low,Close,Change,Volume,Open Interest
4/04/2022 10:00,5.21,5.22,5.19,5.22,0.03,383114,
4/04/2022 11:00,5.22,5.23,5.2,5.22,0,316242,
4/04/2022 12:00,5.22,5.24,5.215,5.24,0.02,279723,
4/04/2022 13:00,5.24,5.27,5.225,5.26,0.02,458764,
4/04/2022 14:00,5.26,5.27,5.22,5.23,-0.03,392137,
4/04/2022 15:00,5.23,5.235,5.17,5.17,-0.06,1120145,
4/04/2022 16:00,5.17,5.2,5.17,5.2,0.03,816399,
5/04/2022 10:00,5.2,5.22,5.17,5.2,0,530835,
5/04/2022 11:00,5.21,5.225,5.19,5.215,0.015,333563,
5/04/2022 12:00,5.215,5.23,5.2,5.22,0.005,419756,
5/04/2022 13:00,5.22,5.22,5.2,5.21,-0.01,142957,
5/04/2022 14:00,5.22,5.22,5.17,5.17,-0.04,393774,
5/04/2022 15:00,5.175,5.19,5.16,5.16,-0.01,329632,
5/04/2022 16:00,5.17,5.17,5.17,5.17,0.01,407847,
6/04/2022 10:00,5.16,5.18,5.13,5.13,-0.04,381179,
6/04/2022 11:00,5.14,5.16,5.12,5.14,0.01,450192,
6/04/2022 12:00,5.145,5.15,5.13,5.145,0.005,356247,
6/04/2022 13:00,5.145,5.15,5.12,5.14,-0.005,300480,
6/04/2022 14:00,5.14,5.15,5.13,5.14,0,371942,
6/04/2022 15:00,5.14,5.15,5.12,5.12,-0.02,541964,
6/04/2022 16:00,5.13,5.13,5.13,5.13,0.01,874143,
7/04/2022 10:00,5.13,5.13,5.06,5.08,-0.05,571193,
7/04/2022 11:00,5.085,5.085,5.07,5.08,0,142998,
7/04/2022 12:00,5.075,5.08,5.03,5.045,-0.035,534477,
7/04/2022 13:00,5.045,5.055,5.03,5.04,-0.005,265254,
7/04/2022 14:00,5.035,5.04,5.015,5.025,-0.015,499069,
7/04/2022 15:00,5.025,5.03,5.01,5.03,0.005,954532,
7/04/2022 16:00,5.03,5.04,5.03,5.04,0.01,918068,
8/04/2022 10:00,5.05,5.05,5.01,5.02,-0.02,501036,
8/04/2022 11:00,5.03,5.07,5.03,5.05,0.03,231769,
8/04/2022 12:00,5.05,5.06,5.04,5.06,0.01,122151,
8/04/2022 13:00,5.05,5.06,5.04,5.06,0,148590,
8/04/2022 14:00,5.06,5.07,5.04,5.055,-0.005,187989,
8/04/2022 15:00,5.06,5.07,5.05,5.05,-0.005,162683,
8/04/2022 16:00,5.05,5.05,5.05,5.05,0,416643,
Downloaded from Barchart.com as of 04-09-2022 07:43pm CDT,,,,,,,
