Symbol: TSLA,,,,,,Study: VOL,
Date Time,Open,High,Low,Close,Change,Volume,Open Interest
4/04/2022 9:00,1089.38,1096.27,1072.53,1094.5898,9.9998,2153960,
4/04/2022 10:00,1094.405,1125.13,1092.2501,1121.442,26.8522,3785883,
4/04/2022 11:00,1121.16,1136.735,1120.9142,1132.35,10.908,2534290,
4/04/2022 12:00,1132.075,1134.09,1127.3,1133.4133,1.0633,918500,
4/04/2022 13:00,1133.71,1148.04,1132.5701,1147.3584,13.9451,1625302,
4/04/2022 14:00,1147.2,1149.91,1139.5,1145.955,-1.4034,1498622,
4/04/2022 15:00,1145.95,1149,1136.3531,1145.45,-0.505,2389556,
5/04/2022 9:00,1136.3,1152.87,1135.25,1146.595,1.145,2396914,
5/04/2022 10:00,1146.74,1146.7799,1113.51,1120.395,-26.2,3077386,
5/04/2022 11:00,1120.565,1127.98,1101.33,1102.84,-17.555,2314237,
5/04/2022 12:00,1102.955,1105,1090.09,1099.8666,-2.9734,1973665,
5/04/2022 13:00,1099.93,1107.07,1095.01,1101.71,1.8434,1204095,
5/04/2022 14:00,1101.74,1108.76,1097.3301,1103.27,1.56,1111570,
5/04/2022 15:00,1103.25,1104.325,1087.3,1091.26,-12.01,2249404,
6/04/2022 9:00,1073.47,1079,1046.4,1047.7,-43.56,3036781,
6/04/2022 10:00,1048.02,1048.9,1032.75,1042.9899,-4.7101,3189908,
6/04/2022 11:00,1042.61,1046.8799,1035.71,1042.12,-0.8699,1501960,
6/04/2022 12:00,1041.52,1042.29,1029.45,1032.7566,-9.3634,1294590,
6/04/2022 13:00,1032.29,1057.11,1027.7,1050.21,17.4534,1934443,
6/04/2022 14:00,1050.535,1064.94,1034.08,1055.675,5.465,2948140,
6/04/2022 15:00,1056.51,1059.83,1043.5387,1045.76,-9.915,2535712,
7/04/2022 9:00,1052.39,1072.22,1046.51,1071.24,25.48,2554510,
7/04/2022 10:00,1071.605,1076.59,1045.8,1052.02,-19.22,2654365,
7/04/2022 11:00,1052,1056.4899,1027.3,1033.03,-18.99,1808950,
7/04/2022 12:00,1032.45,1039.0999,1021.5401,1026.87,-6.16,1479433,
7/04/2022 13:00,1026.4548,1047.9899,1026.28,1047.24,20.37,1837713,
7/04/2022 14:00,1047.14,1059.68,1040.77,1057.8,10.56,1544602,
7/04/2022 15:00,1057.925,1065.96,1054.45,1057.26,-0.54,2458355,
8/04/2022 9:00,1043.21,1048.44,1030.11,1031.43,-25.83,1710508,
8/04/2022 10:00,1031.2999,1037.14,1022.435,1035.59,4.16,2486770,
8/04/2022 11:00,1035.6525,1042.1799,1031.11,1033.3204,-2.2696,1323951,
8/04/2022 12:00,1033,1044.04,1032.6,1042.635,9.3146,1094451,
8/04/2022 13:00,1042.645,1042.9799,1029.05,1032.2314,-10.4036,970220,
8/04/2022 14:00,1032,1036.92,1029.42,1035.35,3.1186,778011,
8/04/2022 15:00,1035.25,1037.4698,1025,1025.49,-9.86,1581967,
Downloaded from Barchart.com as of 04-09-2022 07:44pm CDT,,,,,,,
