Symbol: DMP.AX,,,,,,Study: VOL,
Date Time,Open,High,Low,Close,Change,Volume,Open Interest
4/04/2022 10:00,84.01,84.42,83.67,83.98,-0.38,17536,
4/04/2022 11:00,83.96,84.29,83.61,83.9,-0.08,15910,
4/04/2022 12:00,83.9,84.14,83.52,83.59,-0.31,16090,
4/04/2022 13:00,83.65,83.72,83.3,83.55,-0.04,22565,
4/04/2022 14:00,83.5,83.83,83.46,83.55,0,20049,
4/04/2022 15:00,83.59,83.59,82.93,83.21,-0.34,32218,
4/04/2022 16:00,82.81,82.81,82.81,82.81,-0.4,75115,
5/04/2022 10:00,82.81,83.34,82.16,83.26,0.45,83813,
5/04/2022 11:00,83.26,83.43,81.82,81.925,-1.335,57632,
5/04/2022 12:00,81.925,82.73,81.62,82.02,0.095,66109,
5/04/2022 13:00,82.01,83.335,82.01,82.89,0.87,51111,
5/04/2022 14:00,82.89,83.68,82.36,82.5,-0.39,33790,
5/04/2022 15:00,82.52,82.94,82.34,82.47,-0.03,34044,
5/04/2022 16:00,82.63,82.63,82.63,82.63,0.16,46337,
6/04/2022 10:00,82.8,84.19,82.8,84.08,1.45,26523,
6/04/2022 11:00,84.12,84.31,83.19,83.25,-0.83,25070,
6/04/2022 12:00,83.23,83.94,83.17,83.81,0.56,18214,
6/04/2022 13:00,83.82,83.94,82.92,83.31,-0.5,19857,
6/04/2022 14:00,83.3,83.65,83.09,83.47,0.16,20191,
6/04/2022 15:00,83.47,83.75,83.26,83.33,-0.14,27729,
6/04/2022 16:00,83.3,83.3,83.3,83.3,-0.03,62320,
7/04/2022 10:00,82.79,83.04,81.8,82.87,-0.43,29478,
7/04/2022 11:00,82.79,82.88,81.8,81.86,-1.01,16260,
7/04/2022 12:00,81.85,82.06,81.71,81.77,-0.09,11931,
7/04/2022 13:00,81.71,81.94,81.28,81.28,-0.49,14608,
7/04/2022 14:00,81.26,81.37,80.89,81.13,-0.15,17850,
7/04/2022 15:00,81.13,81.5,81.09,81.19,0.06,24267,
7/04/2022 16:00,81.33,81.33,81.33,81.33,0.14,48276,
8/04/2022 10:00,81.4,81.63,79.4,80.04,-1.29,66744,
8/04/2022 11:00,80.03,81.3,79.94,81.09,1.05,27227,
8/04/2022 12:00,81.09,81.65,80.9,81.24,0.15,22268,
8/04/2022 13:00,81.25,81.32,80.69,80.93,-0.31,16669,
8/04/2022 14:00,80.9,80.96,79.9,80.02,-0.91,43542,
8/04/2022 15:00,80.04,80.69,80,80.67,0.65,25949,
8/04/2022 16:00,80.71,80.71,80.71,80.71,0.04,61297,
Downloaded from Barchart.com as of 04-09-2022 07:42pm CDT,,,,,,,
