Symbol: CLK22,,,,,,Study: VOL,
Date Time,Open,High,Low,Close,Change,Volume,Open Interest
4/04/2022 0:00,99.44,100.07,99.21,99.99,0.53,2901,
4/04/2022 1:00,99.98,100.56,99.92,100.13,0.14,5030,
4/04/2022 2:00,100.13,100.74,99.9,99.99,-0.14,6476,
4/04/2022 3:00,99.97,100.29,99.73,100.2,0.21,8337,
4/04/2022 4:00,100.2,100.38,98.35,98.64,-1.56,10885,
4/04/2022 5:00,98.66,99.69,98.59,99.32,0.68,7196,
4/04/2022 6:00,99.3,100.7,99.21,100.52,1.2,8287,
4/04/2022 7:00,100.53,102.75,100.4,102.34,1.82,21032,
4/04/2022 8:00,102.33,103.58,102.02,103.39,1.05,24845,
4/04/2022 9:00,103.39,103.71,102.37,103.07,-0.32,21305,
4/04/2022 10:00,103.1,103.65,101.14,101.77,-1.3,30446,
4/04/2022 11:00,101.76,102.4,101.23,101.68,-0.09,15912,
4/04/2022 12:00,101.68,102.46,101.39,102.29,0.61,10645,
4/04/2022 13:00,102.3,103.51,102.19,103.38,1.09,21454,
4/04/2022 14:00,103.37,103.94,103.3,103.54,0.16,5714,
4/04/2022 15:00,103.53,103.84,103.5,103.65,0.11,1774,
4/04/2022 17:00,103.66,104.94,103.61,104.7,1.05,2743,
4/04/2022 18:00,104.71,104.71,104.26,104.29,-0.41,973,
4/04/2022 19:00,104.3,105.46,104.26,105.13,0.84,4663,
4/04/2022 20:00,105.14,105.59,104.63,104.91,-0.22,3496,
4/04/2022 21:00,104.93,105.27,104.72,104.85,-0.06,3102,
4/04/2022 22:00,104.85,104.87,104.37,104.72,-0.13,2368,
4/04/2022 23:00,104.71,104.82,104.43,104.64,-0.08,1563,
5/04/2022 0:00,104.63,104.77,104.27,104.66,0.02,2306,
5/04/2022 1:00,104.66,105.3,104.64,104.88,0.22,4203,
5/04/2022 2:00,104.88,104.89,103.77,104.11,-0.77,8236,
5/04/2022 3:00,104.13,105.08,103.59,104.92,0.81,9925,
5/04/2022 4:00,104.93,105.23,103.85,103.92,-1,8120,
5/04/2022 5:00,103.91,104.76,103.51,104.59,0.67,8506,
5/04/2022 6:00,104.59,104.67,103.64,104.23,-0.36,8381,
5/04/2022 7:00,104.22,105.13,103.46,105.09,0.86,19759,
5/04/2022 8:00,105.08,105.11,103.65,104.11,-0.98,18078,
5/04/2022 9:00,104.1,104.1,101.85,102.43,-1.68,30135,
5/04/2022 10:00,102.42,103.76,102.3,102.67,0.24,22051,
5/04/2022 11:00,102.65,103.26,102.51,102.88,0.21,8923,
5/04/2022 12:00,102.89,103.92,102.74,103.05,0.17,11564,
5/04/2022 13:00,103.04,103.24,101.43,101.75,-1.3,20785,
5/04/2022 14:00,101.76,101.78,99.88,100.24,-1.51,13092,
5/04/2022 15:00,100.24,101.41,100.2,101.38,1.14,4206,
5/04/2022 17:00,101.24,101.77,100.73,100.76,-0.62,1659,
5/04/2022 18:00,100.75,101.09,100.68,101.04,0.28,970,
5/04/2022 19:00,101.03,101.32,100.37,101.23,0.19,4708,
5/04/2022 20:00,101.22,101.75,100.81,101.58,0.35,6514,
