Symbol: ZWK22,,,Study: OPINT
Date Time,Close,Change,Open Interest
24/03/2022 11:07,1091.25,-2,
24/03/2022 11:08,1092,0.75,
24/03/2022 11:09,1093.75,1.75,
24/03/2022 11:10,1093.75,0,
24/03/2022 11:11,1096.25,2.5,
24/03/2022 11:12,1096.75,0.5,
24/03/2022 11:13,1096.5,-0.25,
24/03/2022 11:14,1095.25,-1.25,
24/03/2022 11:15,1094.75,-0.5,
24/03/2022 11:16,1094.25,-0.5,
24/03/2022 11:17,1094.75,0.5,
24/03/2022 11:18,1092.25,-2.5,
24/03/2022 11:19,1093.25,1,
24/03/2022 11:20,1093.75,0.5,
24/03/2022 11:21,1092.25,-1.5,
24/03/2022 11:22,1093.25,1,
24/03/2022 11:23,1093.25,0,
24/03/2022 11:24,1093,-0.25,
24/03/2022 11:25,1093.25,0.25,
24/03/2022 11:26,1093.25,0,
24/03/2022 11:28,1092.75,-0.5,
24/03/2022 11:29,1094,1.25,
24/03/2022 11:30,1096.5,2.5,
24/03/2022 11:31,1097.25,0.75,
24/03/2022 11:32,1095.75,-1.5,
24/03/2022 11:33,1096.75,1,
24/03/2022 11:34,1096.25,-0.5,
24/03/2022 11:35,1094.75,-1.5,
24/03/2022 11:36,1093,-1.75,
24/03/2022 11:37,1091.25,-1.75,
24/03/2022 11:38,1091,-0.25,
24/03/2022 11:39,1091.75,0.75,
24/03/2022 11:40,1091.5,-0.25,
24/03/2022 11:41,1092.25,0.75,
24/03/2022 11:42,1093,0.75,
24/03/2022 11:43,1089.5,-3.5,
24/03/2022 11:44,1089.75,0.25,
24/03/2022 11:45,1088.5,-1.25,
24/03/2022 11:46,1089.25,0.75,
24/03/2022 11:47,1088.5,-0.75,
24/03/2022 11:48,1087.5,-1,
24/03/2022 11:49,1090,2.5,
24/03/2022 11:50,1089.75,-0.25,
24/03/2022 11:51,1088.5,-1.25,
24/03/2022 11:52,1090,1.5,
24/03/2022 11:53,1090,0,
24/03/2022 11:54,1090,0,
24/03/2022 11:55,1090.25,0.25,
24/03/2022 11:56,1090.5,0.25,
24/03/2022 11:57,1090,-0.5,
24/03/2022 11:58,1090.5,0.5,
24/03/2022 11:59,1090.75,0.25,
24/03/2022 12:00,1091.75,1,
24/03/2022 12:01,1091,-0.75,
24/03/2022 12:02,1091,0,
24/03/2022 12:03,1091.5,0.5,
24/03/2022 12:04,1093.5,2,
24/03/2022 12:05,1093.25,-0.25,
24/03/2022 12:06,1091.5,-1.75,
24/03/2022 12:08,1092.25,0.75,
24/03/2022 12:09,1090.5,-1.75,
24/03/2022 12:10,1090.5,0,
24/03/2022 12:11,1091,0.5,
24/03/2022 12:12,1090.5,-0.5,
24/03/2022 12:13,1090.75,0.25,
24/03/2022 12:14,1089.5,-1.25,
24/03/2022 12:15,1086.75,-2.75,
24/03/2022 12:16,1086.75,0,
24/03/2022 12:17,1087.25,0.5,
24/03/2022 12:18,1087.75,0.5,
24/03/2022 12:19,1089.25,1.5,
24/03/2022 12:20,1089.5,0.25,
24/03/2022 12:21,1091.5,2,
24/03/2022 12:22,1091.75,0.25,
24/03/2022 12:23,1092.25,0.5,
24/03/2022 12:24,1093,0.75,
24/03/2022 12:25,1094.75,1.75,
24/03/2022 12:26,1095.25,0.5,
24/03/2022 12:27,1094.75,-0.5,
24/03/2022 12:28,1095.25,0.5,
24/03/2022 12:29,1095.5,0.25,
24/03/2022 12:30,1095.75,0.25,
24/03/2022 12:31,1093.75,-2,
24/03/2022 12:32,1094.5,0.75,
24/03/2022 12:33,1094.25,-0.25,
24/03/2022 12:34,1093,-1.25,
24/03/2022 12:35,1092.75,-0.25,
24/03/2022 12:36,1091.5,-1.25,
24/03/2022 12:37,1091.25,-0.25,
24/03/2022 12:38,1090.75,-0.5,
24/03/2022 12:39,1090.25,-0.5,
24/03/2022 12:40,1090.5,0.25,
24/03/2022 12:41,1091,0.5,
24/03/2022 12:42,1091.25,0.25,
24/03/2022 12:43,1093.5,2.25,
24/03/2022 12:44,1093.5,0,
24/03/2022 12:45,1093.75,0.25,
24/03/2022 12:46,1092.75,-1,
24/03/2022 12:47,1093,0.25,
24/03/2022 12:48,1093.75,0.75,
24/03/2022 12:49,1094,0.25,
24/03/2022 12:50,1093.75,-0.25,
24/03/2022 12:51,1093.75,0,
